Cohort,Model,C-index,CI_Lower,CI_Upper,C-index_Display
Full,Model A,0.6850,0.6765,0.6938,0.685 (0.676–0.694)
Full,Model B,0.6855,0.6769,0.6943,0.686 (0.677–0.694)
Full,Model C,0.6850,0.6767,0.6938,0.685 (0.677–0.694)
Semantic,Model A,0.7462,0.7388,0.7537,0.746 (0.739–0.754)
Semantic,Model B,0.7530,0.7461,0.7600,0.753 (0.746–0.760)
Semantic,Model C,0.7505,0.7432,0.7578,0.751 (0.743–0.758)
