Cohort,AIC_ModelA,AIC_ModelC,AIC_Improvement,LRT_Statistic,p_value
Full,6001105.098694285,6001006.718721131,98.37997315451503,140.37997315451503,3.3511501804985155e-15
Semantic,4437.507548431129,4467.4924779271105,-29.984929495981305,10.015070504018695,0.9999620377952672
