Feature,Hazard_Ratio,CI_Lower,CI_Upper,p_value
Recency,1.0029182233694236,1.0027427304685972,1.0030937469837693,1.251405480922991e-233
Frequency,0.9186163446173323,0.9113856763148076,0.925904378934553,2.1145066311932386e-98
Monetary,0.9994484640340852,0.99931688190867,0.9995800634851915,2.1658718478534032e-16
InterPurchaseTime,0.998454701846238,0.9982140044794038,0.9986954572519516,3.014027677851185e-36
GapDeviation,0.9953004077210647,0.9948540767116908,0.9957469389722374,3.8156179368025663e-94
SinglePurchase,0.04283446358734944,0.040158601892243,0.04568862421404097,0.0
